data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Phân loại sản phẩm: máy likenew 99% lần đầu mua hàng giá trị cao cũng hơi rén nhưng nhận hàng tốt, nguyên seal, máy mới toanh, đẹp. Hết màu xanh nên cửa hàng gửi bù cho full box màu đen, nhận hàng siêu ưng, giao vào tphcm tầm 4 ngày đúng dự kiến.",,,,,Positive,,,,Positive,,
"Ship quá lâu (muộn 5 ngày) và không gọi báo trước khi tới. Đóng gói hộp rách, sản phẩm không được bảo vệ. Hiệu năng máy yếu, không xứng với tầm giá.",,,Negative,,,Negative,Negative,,Negative,,
Giao hàng nhanh. Gói hàng rất rất rất là kỹ luôn. Hàng tốt sử dụng êm. Dùn thời gian mới biết tốt không. Nên mua nha mọi người,,,,,,Positive,,,Positive,,
"Phiên bản: mỹ 2 sim 128gb 98% điện thoại trầy xước nhiều. Phần loa bị móp nhẹ. Pin thì tụt khá nhanh . Màn hình thì bị bóng mờ phần dưới và cạnh camera. ( Đã test chức năng vẫn bình thường) mua ở shóp này 98% mà còn xấu hơn các cửa hàng khác, 97% còn đẹp và tốt hơn 98% của cửa hàng",Negative,,,Negative,Negative,,,,,,
Giao hàng không đúng,,,,,,,,,Negative,,
"Ảnh nhận xu, hài lòng với tốc độ giao hàng của fpt cửa hàng",,,,,,,,,Positive,,
máy chạy mượt,,,Positive,,,,,,,,
"sản phẩm có mẫu mã đẹp và chất lượng ổn so với giá thành rẻ, cửa hàng đóng gói và giao hàng nhanh",,,,,Positive,Positive,Positive,,Positive,,
Màu máy: màu đen sản phẩm: samsung j2 prime 16g không giống trong hình vậy mà máy không lên màn hình nữa,,,,,,,,,,Negative,
Thông tin về trung tâm bảo hành được in trên sách hướng dẫn sử dụng.,,,,,,Neutral,,Neutral,,,
Giao hàng nhanh đầy đủ điện thoại sử dụng tốt lắm nhá sẽ còn mua lại,,,,,,,,,Positive,,
"Điện thoại hư nút nguồn, pin tuột nhanh, nói chung là máy dựng.",Negative,,,,,,,,,,
Thời lượng pin giống như các máy khác,Neutral,,,,,,,,,,
"Nhóm màu: đen cửa hàng đóng gói sản phẩm nhanh, giao hàng nhanh, sản phẩm chất lượng.",,,,,,Positive,,,Positive,,
Lỗi màn hình sai màu,,,,Negative,,,,,,,
"máy tốt trong tầm giá, chỉ 3tr4, có thể mua hàng trên shopee, ra cửa hàng gần nhất nhận hàng, lại được giá rẻ hơn mua tại cửa hàng. fpt phục vụ rất tốt.",,,,,,,Positive,,,,
"máy sử dụng tương đối lag, kiểu không mượt, sử dụng không cảm giác đây là máy mới mua. mình sử dụng được cỡ 30 ngày mới đánh giá, và thấy khá chậm. với giá này chắc cũng không đòi hỏi gì hơn",,,Negative,,,,Neutral,,,,
"Sản phẩm nhìn mới, dùng tốt lắm nha mọi người ",,,,,,,,,,Positive,
Thiết kế giống hình ảnh trên website,,,,,Neutral,,,,,,
hàng nguyên seal. nhưng yêu cầu xuất hoá đơn lại thì nhất quyết không xuất. 5 sao sản phẩm. 1 sao hỗ trợ.,,,,,,Positive,,Negative,,,
camera macro chụp gần mờ nhạt shipping phí cao nhưng chậm hiệu năng nóng ran sau 20p,,Negative,Negative,,,,,,Negative,,
"đã nhận đúng hàng. giao hàng nhanh, thân thiện. hình ảnh với đánh giá mang tính nhận xu",,,,,,,,,Positive,,
Camera không có chống rung,,Negative,,,,,,,,,
"Quá bất ngờ, máy đẹp lắm cửa hàng ơi, sử dụng qua các chức năng hoạt động rất tốt và ổn định, màu sắc đẹp, màn hình cảm ứng lướt êm ái, giá cả vừa tầm hợp lý, mình rất hài lòng vừa ý khi nhận được sản phẩm ,đúng như cửa hàng mô tả, cảm ơn cửa hàng nhé,",,,,Positive,Positive,,Positive,,,Positive,
Camera chụp được ảnh với chất lượng ở điều kiện ánh sáng bình thường.,,Neutral,,,,,,,,,
"Kém chất lượng không đúng thiếu đóng gói yếu kém. Shipping trễ nãi, giá mắc.",,,,,,Negative,Negative,,Negative,,
Đã nhận được hàng giao hàng nhanh chóng đóng gói cẩn thận sản phẩm chưa sử dụng để sử dụng xong quay lại đánh giá,,,,,,Positive,,,Positive,,
"backlight bleed sáng đều là quảng cáo sai xem phim bị lóa, khó chịu,",,,,,,,,,,Negative,
"Rất kém chẳng giống chút nào cảm ứng đơ, hay treo máy,",,,Negative,,,,,,,,
điện thoại dùng tốt mọi người lên mua ủng hộ cửa hàng nhé,,,,,,,,,,Positive,
"Trải nghiệm xong 1 ngày. Máy đẹp, độ mới cao. Game liên quân bao mượt, loa nghe nhặc hay. Pin hơi kém chút. So với giá tiền thì quá chất lượng rồi.",Negative,,,,Positive,,Positive,,,Positive,
"Chất lượng sản phẩm: tạm ổn 
Tính năng nổi bật: loa hay 
Đúng với mô tả: đúng đầu tiên thì mình nói về ngoại hình trước bề ngoài máy xước rất nhiều và phầm camera đều bị chầy xước xung quanh các cạnh máy và màn hình củng xước nhưg không đến nỗi điểm yếu của máy là về pin rất hao và tiếng anh lẫn trung rất nhiều không thích hợp làm máy chính nên mọi người cân nhắc nhé máy có hỗ trợ nfc nhưng không nhận thẻ cccd đâu ạ tầm tiền này thì đã có thể mua 1 con máy mới rồi nên ai muốn trải nghiệm thì cứ mua nhé máy mượt và nhạy cam tạm được",Negative,Neutral,Positive,,Negative,,,,,Positive,
"giao hàng nhanh chóng hôm sau đã có hàng, đóng gói chắc chắn, có kèm đầy đủ phụ kiện. Màn hiển thị khá đẹp, có lưu ám nhẹ đúng mô tả. Tuy nhiên góc màn có 1 mảng màu lạ, kính cam có trầy xướt, viền hơi xấu, pin còn được 7x % thôi. Chất lượng máy phù hợp giá. Hơi thất vọng camera trước của dòng x1 ii này.",,Negative,,Positive,,Positive,Positive,,Positive,,
Điện thoại bị lỗi cảm ứng,,,,,,,,,,Negative,
Rất đẹp rất chắc kẹp đâu cũng được giao hàng rất nhanh oke cho 5 sao luôn ,,,,,Positive,,,,Positive,,
thời lượng pin theo công bố của nhà sản xuất là 5000mah,Neutral,,,,,,,,,,
"Sản phẩm: hàng lỗi hoặc bị hư hỏng, sản phẩm giả mạo máy hàng dựng . Bị lỗi sạc",Negative,,,,,,,,,,
Chất lượng sản phẩm: thời gian giao hàng đúng như thông báo; kiện hàng được bọc ở mức tạm được.,,,,,,Neutral,,,Neutral,,
"Camera selfie chỉnh màu lệch, hiệu năng chậm duyệt file. Giao hàng 14 ngày, dịch vụ bác hoàn ứng dụng.",,Negative,,,,,,,Negative,,
"Rởm đời bịp bợm lag kinh khủng khi mở app, sạc chậm ù ù mãi không đầy, shipping muộn màng mất cả tuần mới tới nơi",Negative,,Negative,,,,,,,,
"Phân loại sản phẩm: xanh 1 sim 6/128gb 
Dung lượng lưu trữ: 128gb đẹp long lanh, hầu như không có tý trầy xước gì. chạy mượt, về cái cập nhật lên android 12 luôn. cảm ơn cửa hàng",,,,,Positive,,,,,,
"đây là đánh giá tổng qua của mình sau 3 ngày sử dụng - hình thức: máy được thay nắp lưng nên cực kì mới, rất đẹp - chức năng: không có lỗi lầm gì - pin: ổn, youtube bằng wifi khoảng 4h nhược điểm: không áp xuất + máy hơi nóng + 2 nút âm lượng đà hồi không tốt lắm mua làm máy phụ oke nha mọi người 👍",,,,,Positive,,,,,,
"Lúc đặt hàng màu xanh nhạt,xanh nhạt chỗ nào vậy.trong hình ảnh trên cửa hàng khác lúc nhận hàng thì lại khác, cứ tưởng nhận hàng y như trong hình trên cửa hàng. Thôi trả hàng ,quá lừa đảo cấu hình vivo màn hình của oppo vãi",,,,Negative,Negative,,,,,,
"Chất lượng sản phẩm: tốt 
Đúng với mô tả: tốt 
Tính năng nổi bật: đẹp bài đánh giá mang tính chất nhận xu. Sản phẩm như giới thiệu đúng cái mình muốn mua. Cửa hàng đóng gói chắc chắn cận thận giao hàng nhanh. Cho cửa hàng 5 sao để bán sản phẩm tốt hơn",,,,,,Positive,,,Positive,,
"Màu sắc: đen 
Phân loại: nguyên seal thiết kế mỏng nhẹ, rất đẹp!, màn hình tuyệt vời với tần số làm mới 90hz., hiệu suất mượt mà với chip snapdragon 480.,",,,Positive,Positive,Positive,,,,,,
"Nhóm màu: màu xanh đậm khả năng lưu trữ: 128gb máy mỹ xách tay , sử dụng tốt , đóng gói giao hàng cẩn thận . ",,,,,,Positive,,,,,
"Tính năng nổi bật: nfc, khoá khuôn mặt, khoá vân tay bên nút đỏ (nhạy, nhanh) 
Đúng với mô tả: chính xác 
Chất lượng sản phẩm: tốt! màn hình 120hz mượt, cầm đầm/nặng tay, dễ dàng tắt các ứng dụng chạy ngầm. có nfc, khoá khuôn mặt, khoá vân tay (bên hông nút đỏ), khoá mã pin và khoá mật khẩu dài chữ. mặt sau nhựa nhám chắc tay, viền cạnh cứng cáp, nhiều chức năng hay ho, độ nhạy tốt, có thể gắn thêm thẻ nhớ ngoài. camera sau tốt, chọn chế độ “nét” trong mục khác để lấy nét tốt nhất. camera trước :”….”, sử dụng làm điện thoại phụ hotline tốt! có chụp xoá ai. test thử 4 game có sẵn trong máy: không giật lag, pin trâu. ai test liên quân hay gì tự mua test! tui không biết! lướt ytb và tt độ hiển thị ổn.",Positive,Positive,Positive,Positive,,,,,,,
"giao hàng trễ không báo, đóng gói túi nhựa yếu. camera phóng to kém, pin kém quảng cáo.",Negative,Negative,,,,Negative,,,Negative,,
sản phẩm quá đẹp số với tầm giá. màn hình đẹp.,,,,Positive,Positive,,Positive,,,,
Trọng lượng của sản phẩm này là bao nhiêu gam?,,,,,Neutral,,,,,,
"Chất lượng sản phẩm: tốt
Nhận máy sử dụng tốt cửa hàng đóng gói cẩn thận tháo lắp dễ dàng 5 sao nhé cửa hàng",,,,,,Positive,,,,,
"Nhóm màu: máy có sạc đã nhận hàng, cửa hàng gói hàng kỹ, giao nhanh. Máy nhìn giống mô tả,",,,,,,Positive,,,Positive,,
"Giá trị tuyệt vời cho số tiền bỏ ra,",,,,,,,Positive,,,,
Mọi người cho hỏi hệ điều hành của máy cập nhật như thế nào vậy?,,,,,,,,,,Neutral,
"Khả năng lưu trữ: 32gb 
Nhóm màu: nhiều màu mình rất thích điện thoại này nó rất đẹp và sài rất bờn và thoải mái",,,,,Positive,,,,,,
"Được mỗi con chip, tất cả đều nhìn rất rẻ tiền",,,,,,,,,,Negative,
"đã nhận được sản phẩm tốt trong tầm giá. để sử dụng làm máy phụ thì được, mọi thứ đều ổn. tốt",,,,,,,,,,Positive,
máy lúc nhận mình mua 97% mà nó gần như mới . màn hình không trầy sước . sau 29 ngày sử dụng thì thấy tốt . pin tốt . sẽ ũng hộ cửa hàng lần sau,Positive,,,Positive,,,,,,,
"Nhóm màu: xanh dương 
Dung lượng lưu trữ: 6gb+128gb dung lượng lưu trữ lớn, 🔋 
Thời lượng pin: dài 📸 
Chất lượng camera: tốt ⚡ 
Hiệu suất: trung bình",Positive,Positive,Neutral,,,,,,,,
"đóng gói lủng lẳng, pin rỉ nghe sách nói. camera chính góc tối, hiệu năng dao động.",Negative,Negative,Negative,,,Negative,,,,,
"Phân loại sản phẩm: hồng 2 sim 8/128gb 
Dung lượng lưu trữ: 128gb cửa hàng uy tín, mình mua lần thứ 2 luôn ý.. này là cây s20fe thứ 2 mua bên cửa hàng 😚🥰 chỉ có điều là cây sau này bị cấn nhẹ ở khe sim 1 tí thôi nhưng chấp nhận được còn lại thì máy đẹp xuất sắc không lỗi lầm gì cả ♡♡♡",,,,,Positive,,,,,,
"Nhóm màu: black 
Dung lượng lưu trữ: 256gb hoàn hảo",,,,,,,,,,Positive,
Bền hay không chờ sử dụng,,,,,,,,,,Neutral,
"Hàng đóng gói tốt, sản phẩm không bị ảnh hưởng bên trong",,,,,,Positive,,,,,
"Chất lượng sản phẩm: tốt
Trong phân khúc 4-5 triệu",,,,,,,Positive,,,,
Màu sắc: đen điện thoại nhỏ gọn. Chữ to thích hợp cho người già tiếc là giao không đúng với sản phẩrm đã quảng cáo . đặt a30 nà giao a35,,,,,Positive,Negative,,,Negative,,
Mình chưa có thời gian để kiểm tra các chế độ chụp ảnh của camera.,,Neutral,,,,,,,,,
Đóng gói với phụ kiện bên trong,,,,,,Neutral,,,,,
"điện thoại ổn, chơi game hiệu năng tốt, pin không quá trâu nhưng vẫn vừa đủ",Positive,,Positive,,,,,,,,
"Tính năng nổi bật: dùng nghe gọi và một số ứng dụng 
Chất lượng sản phẩm: chất lượng chưa biết nhưng nguyên seal 
Đúng với mô tả: đúng mô tả, sẽ ủng hộ nếu có nhu cầu",,,,,,Positive,,,,Positive,
Không khác gì mua ngoài cửa hàng. Nên mua để có giá tốt nhất nha mọi người,,,,,,,Positive,,,,
Mua về không vào mạng được chả làm được cái gì luôn như hòn gạch vậy chán mọi người đừng mua nha máy thất vọng lắm lấy 2lop đi mua đồ ăn còn sướng hơn,,,,,,,,,,Negative,
Điện thoại rất tốt máy pin trâu 6000 màn hình nét 120hz bền đẹp,Positive,,,Positive,,,,,,,
"Khả năng lưu trữ: 256gb 
Nhóm màu: màu xám mình đã check kĩ điện thoại, đúng mã imei, sử dụng 3 ngày rồi ngon lành, cửa hàng tư vấn nhiệt tình, sẽ giới thiệu cho bạn bè biết đến cửa hàng👌👌",,,,,,,,Positive,,,
"Máy nhìn đẹp lắm, giao hàng nhanh chóng, máy không có app rác, máy sử dụng mượt , ổn định, lần đầu mua của cửa hàng thấy rất hài lòng, có dịp sẽ ủng hộ cửa hàng tiếp, cửa hàng uy tín nhé mọi người",,,Positive,,Positive,,,,Positive,Positive,
Hiệu năng chậm khi sync pin tụt đột ngột camera zoom kỹ thuật số kém pin hao pin gọi,Negative,Negative,Negative,,,,,,,,
"Dung lượng lưu trữ: 128gb 
Nhóm màu: đen trân châu 
Phân loại sản phẩm: 8gb giao đúng hàng.",,,,,,,,,Positive,,
Đẹp ! xịn ! giao nhanh ! nhưng mà giao điện thoại hơi sai mẫu ! đặt a74 mà nó ra a7x hay gì ý,,,,,Positive,,,,Positive,,
Chính sách bảo hành của sản phẩm được cung cấp đầy đủ và rõ ràng.,,,,,,,,Neutral,,,
"Màu sắc: bạc 
Phân loại: nguyên seal có cả chống nước tuyệt vời",,,,,,,,,,Positive,
Hàng chuẩn zin mới đập hộp .màu đẹp mua được với giá khá hợp lý .giao hàng hơi lâu chắc do ngày sale 5 sao,,,,,Positive,,Positive,,Negative,,
"Màu sắc: đen 
Phân loại: nguyên seal hàng đúng mô tả. Nhưng giao hàng hơi lâu!",,,,,,,,,Negative,,
hinh ảnh và video chỉ mang tính chất nhận su còn chất lượng của sản phẩm binh thường so với tiền noi chung la tốt nhe mọi người,,,,,,,Positive,,,,
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 128gb điện thoại đẹp, sử dụng 1 tuần không thấy lỗi lầm gì, cửa hàng cực kỳ thân thiện, đáng yêu. Cửa hàng uy tín.",,,,,Positive,,,Positive,,,
"Hiệu năng không ổn định, lúc nhanh lúc chậm bất thường. Pin sụt không phanh khi sử dụng 4g. Đóng gói không chắc chắn, sản phẩm bị xê dịch bên trong hộp.",Negative,,Negative,,,Negative,,,,,
Mẫu mã tốt nhưng pin không tốt nhắn yêu cầu hỏi thì không trả lời,Negative,,,,,,,Negative,,,
Điện thoại có dung lượng 128gb và 8gb ram,,,,,,,,,,Neutral,
"Color family: random color sản phẩm: máy sử dụng rất ổn, cấu hình thì không cần phải bàn , bề ngoài đẹp ,giá cũng hợp lý.",,,,,Positive,,Positive,,,,
"Lag lắm , kiểu dùm tạm thì được",,,Negative,,,,,,,,
" 99%, android 10 choi game bao tốt, sử dụng chưa có điểm gì để chê, chấm cửa hàng max sao, có nhu cầu sẽ ủng hộ tiếp",,,,,,,,,,Positive,
chăm sóc khách hàng từ chối giải quyết khiếu nại. nhân viên chăm sóc khách hàng nói chuyện k thân thiện. khó bảo hành. báo lỗi thì bị từ chối. gọi điện khó khăn,,,,,,,,Negative,,,
Sử dụng tốt lắm mà sao lại có thêm nhiều tính năng mới thì của mình ai có thể làm sử dụng được không nhỉ các bác mẹ mai liên cứ yên tâm là,,,,,,,,,,Positive,
Thời gian giao hàng nằm trong khoảng dự kiến ban đầu.,,,,,,,,,Neutral,,
"Phiên bản: ram 4/64gb rất tuyệt vời ngoài sự mong đợi,máy rất mượt, đúng như cửa hàng quảng cáo, sẽ ủng hộ tiếp, cần máy tính bảng mọi người nên mua",,,Positive,,,,,,,,
"không len nguon,nut home bi hu.",,,,,,,,,,Negative,
"Sử dụng 2 ngày rồi khá ngon, về sau thì chưa biết được",,,,,,,,,,Positive,
"Màu sắc: tím 
Phân loại sản phẩm: 1 sim mình test được mấy ngày rồi, pin xuống cũng khá nhanh đó",Negative,,,,,,,,,,
"Nút nguồn bị lỏng không đúng cấu hình như quảng cáo hiệu năng game lag, nóng máy sau 15p",,,Negative,,Negative,,,,,,
Màu máy: màu xanh sản phẩm: samsung j7 pro 3/32g máy sử dụng ổn nha cửa hàng đã mua cửa hàng lần 2 rồi máy vẫn rất tốt nha .vừa tầm giá .mà mây còn mới sài full mọi chức năng cửa hàng tư vấn nhiệt tình .giao hàng nhanh .sẽ ủng hộ thêm khj có nhu cầu tặng cửa hàng 5*,,,,,,,Positive,,Positive,,
"Shipping không cập nhật trạng thái. Không theo dõi được đơn hàng. Vận chuyển không minh bạch. Không biết hàng đang ở đâu, không có thông báo. Chăm sóc khách hàng cũng không biết chính xác. Máy hay bị nóng",,,,,,,,Negative,Negative,,
"Máy mạnh, pin cao, sử dụng bình thường có chơi game, tầm hơn 1 ngày mới sạc, sạc nhanh thôi 55 phút đầy cũng nhanh rồi không cần siêu nhanh. Nói chung máy khá tốt trong tầm giá nhất là anh em như cầu chơi game thì không phải bàn cãi",Positive,,,,,,,,,,
"máy rất đẹp, quảng cáo đúng sự thật, điện thoại tốt hơn mong đợi, chủ cửa hàng thấy thân thiện, nhiệt tình cửa hàng làm ăn có tâm, chúc cửa hàng bán ngày càng đông khách nhé",,,,,,,,Positive,,,
"Camera không có chống rung. Video bị rung lắc mạnh. Chống rung kém. Quay video ngoài đường rung bần bật, không xem nổi. Đóng hàng hơi ọp ẹp",,Negative,,,,Negative,,,,,
"Hiệu năng đủ đáp ứng nhu cầu cơ bản, thiết kế cầm nắm vừa tay.",,,Neutral,,Neutral,,,,,,
cấu hình thì tốt. còn pin với màn hình thì tạm,Positive,,,Positive,,,,,,,
"Theo dõi đơn hàng báo sai, ship mất nhiều ngày. Khác với mô tả giao nhanh. Tính năng tracking lỗi. Nhận máy mới biết lỗi phần mềm, chăm sóc khách hàng xử lý chậm",,,,,,,,Negative,Negative,Negative,
Cửa hàng giao máy bị hỏng loa,,,,,,,,,,Negative,
"Màn hình có điểm chết, khả năng quay video 4k như quảng cáo",,,,Negative,,,,,,,
Màu máy: màu đen sản phẩm: samsung a50s 4/64gb cửa hàng ơi mình nhận máy rồi nè .giao hàng nhanh .đóng gói cẩn thận .đúng máy mình cần nè .test qua thì ổn lắm .mọi chức năng đều ổn nè .cửa hàng uy tín vậy mình sẽ giới thiệu ủng hộ thêm cửa hàng nè .giá cũng tốt nha 👌👌👌👌,,,Positive,,,Positive,Positive,,Positive,Positive,
"Nhóm màu: đen tốt, giao hàng ưuas được, nhanh, chất lượng đảm bảo quá là tốt tốt tốt chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,",,Positive,,,,,,,Positive,,
"Màu sắc: desert 
Dung lượng lưu trữ: 256gb dịch vụ khách hàng xuất sắc, giao hàng nhanh chóng và hiệu quả,",,,,,,,,Positive,Positive,,
Mọi người mua điện thoại cửa hàng này nên suy nghĩ kĩ nha giao cái điện thoại vừa móp vừa rách hộp.cửa hàng tiếc cái thùng catton mấy đồng á nên chỉ gói được 1 túi nilong và chống sốc thôi .ai mua thì nên cân nhắc nhé chứ bỏ tiền ra mua hàng nguyên vẹn thì nhận được hộp xấu đao xấu đớn thêm cục tức,,,,,,Negative,,,,,
"đóng gói sơ sài ghi niêm phong nhưng không hộp móp, phụ kiện thiếu, shipper giao trễ,",,,,,,Negative,,,Negative,,
"Nhóm màu: blue 
Dung lượng lưu trữ: 128gb chất lượng máy ảnh ấn tượng, tính năng sáng tạo, tuổi thọ pin lâu dài,",Positive,Positive,,,,,,,,,
"Mặt lưng dễ bám vân tay pin thực tế chỉ 3000mah không phải 5000mah camera selfie xấu, làm mịn da quá đà",Negative,Negative,,,Negative,,,,,,
"Vết ố trên màn cam kết 'sạch' sai backlight bleed, xem phim khó chịu,",,,,Negative,,,,,,,
Variation3: mỹ 2 sim 128gb 95% nhận được máy rồi..mua ở cửa hàng 3 con rồi ..thấy cửa hàng uy tín...,,,,,,,,,,Positive,
Pin ảo. Không đúng với thông số kỹ thuật. Nóng máy. Pin tụt nhanh. Máy nóng rát. Hiệu năng kém. Đóng hàng méo mó. Ship chậm,Negative,,Negative,,,Negative,,,Negative,,
điện thoại oppo f11 pin hơi kém. nhắn cho cửa hàng cửa hàng cũng hồi đáp cho khách và đưa ra cách khắc phục tốt nhất cho 2 bên . giờ sau mong cửa hàng kiểm tra kỹ 1 chút trước khi bán cho khách ạ.,Negative,,,,,,,Negative,,,
hàng đúng mẫu .tốt .. nhưng mà màu hết pin quá. ở mức 86% mà mới coi video được 2phút xuống 4.5% rồi. mau nóng. .haiz .. không bị 2 cái do thì tốt rồi,Negative,,,,,,,,,,
Ðụ má bán hàng đểu cha tổ mi,,,,,,,,,,Negative,
Nhóm màu: xanh bán hàng không có que chọt sim sao cho sim vô sử dụng. buôn bán không được chu đáo cho lắm. quảng cáo thì nhiều,,,,,,,,,,Negative,
Hiệu năng xử lý các tác vụ cơ bản ở mức chấp nhận được.,,,Neutral,,,,,,,,
mua về 1 tuần bị sập nguồn 3 lần. giờ chờ cập nhật bản mới nhất xem sao,,,,,,,,,,Negative,
"Color family: random color sản phẩm: đã,nhận , mua đúng cửa hàng uy tín,nhận được con hàng mình đặt sử dụng rất tốt .giao hàng cũng nhanh chóng và đóng gói hàng cũng đẹp,5 sao .",,,,,,Positive,,,Positive,,
Bộ nhớ không đủ 256gb hàng cũng tạm được,,,,,,,,,,Positive,
"color: đen-xl hoàn hảo cho các hoạt động thể thao, thời trang hàn quốc hợp thời, bền và lâu dài,",,,,,,,,,,,Neutral
"Màu sắc: xanh ngọc 
Dung lượng lưu trữ: 128gb điện thoại đẹp.mới keh xà ben.. Cửa hàng tư vấn nhiệt tìh",,,,,Positive,,,Positive,,,
"Màu sắc: bạc 
Phân loại: nguyên seal đã nhận sản phẩm. Nguyên seal, có cả ốp lưng silicon, sạc tặng hoco chính hãng. Mọi người nên mua ! 10 sao",,,,,,,,,,Positive,
bắt wifi kém lắm,,,,,,,,,,Negative,
điện thoại không chạy mượt mà vì hệ điều hành máy quá yếu để chạy android. không nên mua,,,,,,,,,,Negative,
"Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: tốt
Cửa hàng uy tín",,,,,,,,,,Positive,
"Sóng chập chờn, không ổn định",,,,,,,,,,Negative,
"Màu sắc: bạc 
Phân loại: nguyên seal cũng may biết đến cửa hàng này bán hàng chất lượng giá còn tốt nữa chứ, mấy cửa hàng kia thì mình không biết sao nhưng giá lại vô cùng cao nên cũng khá quan ngại",,,,,,Positive,Positive,,,Positive,
Nhóm màu: trắng cửa hàng bàn giao hàng cho bên vận chuyển quá chậm chạp. Hàng apple thì khổng có điểm để chê,,,,,,,,,Negative,,
"lỗi nhưng cửa hàng từ chối đổi trả đúng máy không có. máy mình mua về bị lỗi camera, chụp ảnh bị một vệt mờ. mình yêu cầu đổi trả trong 7 ngày đầu thì cửa hàng cứ hẹn lần hẹn lữa, bắt làm đủ thứ thủ tục để câu giờ cho qua hạn đổi trả. quá thất vọng với cách làm việc của cửa hàng.",,Negative,,,,,,Negative,,,
"giá trị tuyệt vời cho giá tiền.,",,,,,,,Positive,,,,
"Chất lượng sản phẩm: mới 
Đúng với mô tả: đúng rất tốt. Uy tín . Máy rất đẹp mà rẻ. Đáng tiền.",,,,,Positive,,Positive,,,,
Máy tự tắt nguồn liên tục. Cửa hàng bán sản phẩm kém chất lượng.,,,,,,,,,,Negative,
Đồng nát quá hơi thất vọng,,,,,,,,,,Negative,
Nhóm màu: xanh than sản phẩm rất tốt lần sau ủng hộ tiếp.,,,,,,,,,,Positive,
"Phân loại sản phẩm: máy kèm sạc 
Nhóm màu: màu vàng hồng đã mua 2lần rồi chúc mua bán thành công",,,,,,,,,,Positive,
"Nhóm màu: xanh dương 
Dung lượng lưu trữ:  độ phân giải màn hình full hd+ rất là đẹp nha.",,,,Positive,,,,,,,
"Kém chất lượng sai lệch thiếu đóng gói yếu kém. Shipping trễ, phí cao ngất.,",,,,,,Negative,,,Negative,,
"Nhóm màu: đen 
Dung lượng lưu trữ: 6gb+128gb chất lượng sản phẩm bình thường phù hợp với giá tiền giao hàng nhanh chóng",,,,,,,Positive,,Positive,,
Phần mềm sẽ được cập nhật vào quý tới,,,,,,,,,,Neutral,
Hàng kem chất lượng.dùng 2 ngày hỏng màn hình luôn,,,,Negative,,,,,,,
"Chất lượng sản phẩm: cực tốt 
Tính năng nổi bật: gaming máy thiết kế đẹp, phụ kiện đầy đủ bộ sạc, ốp lưng máy chạy mượt, ui đẹp mắt, có nhiều tính năng hỗ trợ cho gaming so với giá thì quá ổn",,,Positive,,Positive,,Positive,,,Positive,
"Sản phẩm đúng như mô tả. Sử dụng cũng ưng, để một thời gian xem có bền không.",,,,,,,,,,Positive,
"Phân loại sản phẩm: vỏ cũ đẹp 🔋 
Thời lượng pin:đúng đắn như quang cáo tốt 📸 
Chất lượng camera: tạm ổn ⚡ 
Hiệu suất:hiệu năng hệ điều hành android, tiện lợi với 2 khe sim,",Positive,Positive,,,,,,,,,
"Điện thoại sài mượt ngon, sạc 15w siêu nhanh, phản hồi nhanh không chậm trễ, nói chung là rất tốt 👍👍,",Positive,,Positive,,,,,Positive,,,
Tính năng nổi bật: máy nói chung đẹp xước dăm thôi máy chạy mượt pin cũng ổn nghe nhạc hay chụp ảnh thì chỉnh tay đẹp hơn chút thôi chứ chụp tự động màu bị bệt ám vàng thua cả iphone đời tống,,Negative,,,Positive,,,,,,
Máy rất mượt nhưng không có sạc và bìa để chống vỡ,,,Positive,,,,,,,,
"Đóng gói không chống nước, camera selfie ồn ào. Hỗ trợ mail bỏ lỡ, hiệu năng ram ảo.",,Negative,Negative,,,Negative,,Negative,,,
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tuyệt vời ngon nha",,,,,,,,,,Positive,
"Máy nóng ran khi sạc. Không đúng. Không. Pin tệ, máy nóng vô cùng nguy hiểm. Chăm sóc khách hàng không có giải pháp hỗ trợ hữu hiệu nào.",Negative,,,,,,,Negative,,,
điện thoại fullbox mới pin sử dụng cũng tốt loa to mic rõ cửa hàng khóa uy tín cho cửa hàng 5 sao,Positive,,,,,,,,,Positive,
"Tính năng nổi bật: cửa hàng lừa đảo nha mọi người giao máy đúng nhưng mà thiếu khe sim , nhắn tin cửa hàng thì trả lời được vài câu rồi cũng không trả lời luôn",,,,,,,,Negative,Negative,,
máy không nhận thẻ nhớ,,,,,,,,,,Negative,
Nên mua nếu thích pin trâu nhé. Sử dụng 2 ngày tốt chip thì khỏi chê,Positive,,Positive,,,,,,,,
"Tính năng nổi bật: tốt 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: dung sản phầm hoàn thiện chưa tốt lắm ở mức tạm chấp nhận thôi",,,,,,,,,,Neutral,
Anh chị cân nhắc khi mua tuỳ nhu cầu của cá nhân sử dụng ngoại quan máy ổn camera có bụi trước & sau. Pin chấp nhận được,Positive,Negative,,,,,,,,,
"Color: đen-2xl size nhỏ ,chỉ dành cho trẻ em",,,,,,,,,,,Neutral
loa quá rè,,,,,,,,,,Negative,
